영업일자,상품분류,상품명,판매수량
2024-01-31,그랜드테이블,아메리카노(ICE),12
2024-01-31,그랜드테이블,꿀자몽블랙티(HOT),1
2024-01-31,그랜드테이블,꿀자몽블랙티(ICE),4
2024-01-31,그랜드테이블,유자티(HOT),1
2024-01-31,그랜드테이블,유자티(ICE),1
2024-01-31,그랜드테이블,아임파인주스,2
2024-02-01,그랜드테이블,카페라떼(ICE),1
2024-02-01,그랜드테이블,초코라떼(HOT),2
2024-02-01,그랜드테이블,아이스티,1
2024-02-01,그랜드테이블,청포도주스(ICE),3
2024-02-01,그랜드테이블,아메리카노(HOT),25
2024-02-01,그랜드테이블,아메리카노(ICE),11
2024-02-01,그랜드테이블,꿀자몽블랙티(HOT),2
2024-02-01,그랜드테이블,꿀자몽블랙티(ICE),1
2024-02-01,그랜드테이블,유자티(HOT),4
2024-02-01,그랜드테이블,아임파인주스,2
2024-02-02,그랜드테이블,카페라떼(ICE),1
2024-02-02,그랜드테이블,초코라떼(ICE),2
2024-02-02,그랜드테이블,아이스티,1
2024-02-02,그랜드테이블,청포도주스(ICE),1
2024-02-02,그랜드테이블,아메리카노(HOT),12
2024-02-02,그랜드테이블,아메리카노(ICE),6
2024-02-02,그랜드테이블,꿀자몽블랙티(HOT),1
2024-02-02,그랜드테이블,유자티(HOT),2
2024-02-03,그랜드테이블,카페라떼(HOT),9
2024-02-03,그랜드테이블,카페라떼(ICE),3
2024-02-03,그랜드테이블,카푸치노(HOT),4
2024-02-03,그랜드테이블,바닐라라떼(HOT),10
2024-02-03,그랜드테이블,바닐라라떼(ICE),1
2024-02-03,그랜드테이블,카페모카(HOT),2
2024-02-03,그랜드테이블,초코라떼(HOT),7
2024-02-03,그랜드테이블,초코라떼(ICE),4
2024-02-03,그랜드테이블,아이스티,5
2024-02-03,그랜드테이블,청포도주스(ICE),8
2024-02-03,그랜드테이블,아메리카노(HOT),43
2024-02-03,그랜드테이블,아메리카노(ICE),39
2024-02-03,그랜드테이블,아이스메리 스트로베리,7
2024-02-03,그랜드테이블,꿀자몽블랙티(ICE),3
2024-02-03,그랜드테이블,유자티(HOT),1
2024-02-03,그랜드테이블,유자티(ICE),8
2024-02-03,그랜드테이블,아임파인주스,10
2024-02-04,그랜드테이블,카페라떼(HOT),10
2024-02-04,그랜드테이블,카페라떼(ICE),5
2024-02-04,그랜드테이블,카푸치노(HOT),2
2024-02-04,그랜드테이블,바닐라라떼(HOT),11
2024-02-04,그랜드테이블,바닐라라떼(ICE),8
2024-02-04,그랜드테이블,카페모카(HOT),4
2024-02-04,그랜드테이블,카페모카(ICE),1
2024-02-04,그랜드테이블,초코라떼(HOT),3
2024-02-04,그랜드테이블,초코라떼(ICE),9
2024-02-04,그랜드테이블,아이스티,5
2024-02-04,그랜드테이블,청포도주스(ICE),3
2024-02-04,그랜드테이블,아메리카노(HOT),41
2024-02-04,그랜드테이블,아메리카노(ICE),32
2024-02-04,그랜드테이블,아이스메리 스트로베리,5
2024-02-04,그랜드테이블,꿀자몽블랙티(HOT),2
2024-02-04,그랜드테이블,꿀자몽블랙티(ICE),1
2024-02-04,그랜드테이블,유자티(HOT),2
2024-02-04,그랜드테이블,유자티(ICE),1
2024-02-04,그랜드테이블,아임파인주스,4
2024-02-05,그랜드테이블,카페라떼(HOT),9
2024-02-05,그랜드테이블,카페라떼(ICE),1
2024-02-05,그랜드테이블,카푸치노(HOT),1
2024-02-05,그랜드테이블,바닐라라떼(HOT),7
2024-02-05,그랜드테이블,바닐라라떼(ICE),3
2024-02-05,그랜드테이블,카페모카(HOT),2
2024-02-05,그랜드테이블,초코라떼(HOT),2
2024-02-05,그랜드테이블,초코라떼(ICE),3
2024-02-05,그랜드테이블,아이스티,3
2024-02-05,그랜드테이블,청포도주스(ICE),1
2024-02-05,그랜드테이블,아메리카노(HOT),31
2024-02-05,그랜드테이블,아메리카노(ICE),19
2024-02-05,그랜드테이블,아이스메리 스트로베리,3
2024-02-05,그랜드테이블,꿀자몽블랙티(HOT),1
2024-02-05,그랜드테이블,꿀자몽블랙티(ICE),1
2024-02-05,그랜드테이블,유자티(HOT),2
2024-02-05,그랜드테이블,아임파인주스,2
2024-02-06,그랜드테이블,카페라떼(HOT),6
2024-02-06,그랜드테이블,카페라떼(ICE),2
2024-02-06,그랜드테이블,카푸치노(HOT),1
2024-02-06,그랜드테이블,바닐라라떼(HOT),3
2024-02-06,그랜드테이블,바닐라라떼(ICE),3
2024-02-06,그랜드테이블,초코라떼(HOT),1
